year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean
1982,1,3,300.04951,26.89950946,0.12326,0
1982,1,8,300.10734,26.9573378,0.10195,0
1982,1,13,299.94285,26.79284598,0.10368,0
1982,1,18,300.07112,26.92112139,0.10236,0
1982,1,23,299.81594,26.66594376,0.10318,0
1982,1,28,299.84524,26.69523746,0.10365,0
1982,2,3,299.79142,26.64141747,0.10165,0
1982,2,8,299.60113,26.45112841,0.10167,0
1982,2,13,299.80751,26.65751177,0.10252,0
1982,2,18,299.89627,26.7462669,0.10192,0
1982,2,23,299.80515,26.65514819,0.102,0
1982,2,27,300.05158,26.90158252,0.10041,0
1982,3,3,299.91516,26.76515672,0.12107,0
1982,3,8,299.91857,26.7685662,0.1203,0
1982,3,13,299.64292,26.49292338,0.12023,0
1982,3,18,299.9941,26.84409633,0.12025,0
1982,3,23,300.29219,27.1421944,0.12477,0
1982,3,28,300.65728,27.50728301,0.12116,0
1982,4,3,300.87524,27.72524375,0.12129,0
1982,4,8,300.56591,27.41591465,0.1219,0
1982,4,13,301.14404,27.99403591,0.12276,0
1982,4,18,300.99565,27.84564768,0.12319,0
1982,4,23,301.13021,27.980211,0.13272,0
1982,4,28,301.40541,28.25541059,0.12494,0
1982,5,3,301.44076,28.29075969,0.13014,0
1982,5,8,301.394,28.24400452,0.12473,0
1982,5,13,302.05332,28.90331774,0.12465,0
1982,5,18,301.99853,28.84853009,0.13661,0
1982,5,23,302.60494,29.45494213,0.12751,0
1982,5,28,302.67348,29.52347588,0.25789,0
1982,6,3,302.65347,29.50346686,0.23962,0
1982,6,8,302.65598,29.50597987,0.24658,0
1982,6,13,302.35902,29.20902295,0.35104,0
1982,6,18,301.82597,28.6759733,0.37194,0
1982,6,23,301.40103,28.25103384,0.29142,0
1982,6,28,301.2666,28.11660137,0.21855,0
1982,7,3,301.6858,28.53580368,0.24751,0
1982,7,8,301.61283,28.46282581,0.34781,0
1982,7,13,301.18374,28.03374314,0.48135,0
1982,7,18,300.90257,27.7525673,0.4681,0
1982,7,23,300.84789,27.69788597,0.40472,0
1982,7,28,300.8275,27.67749529,0.43863,0
1982,8,3,300.57962,27.42962354,0.52412,0
1982,8,8,300.51858,27.3685837,0.57283,0
1982,8,13,300.25529,27.10528668,0.51329,0
1982,8,18,300.01184,26.86184004,0.4713,0
1982,8,23,300.10189,26.95189127,0.3058,0
1982,8,28,300.20564,27.05564399,0.32609,0
1982,9,3,300.61334,27.46333745,0.1197,0
1982,9,8,300.56579,27.41579208,0.12661,0
1982,9,13,300.37008,27.22007569,0.15723,0
1982,9,18,300.64119,27.49118804,0.21119,0
1982,9,23,300.55805,27.40805476,0.19051,0
1982,9,28,300.97965,27.82964795,0.19123,0
1982,10,3,301.00553,27.85552729,0.11427,0
1982,10,8,301.88752,28.73752029,0.11272,0
1982,10,13,301.91224,28.76223839,0.10893,0
1982,10,18,302.34027,29.1902749,0.12633,0
1982,10,23,302.76638,29.61637849,0.11299,0
1982,10,28,302.54813,29.39813317,0.11042,0
1982,11,3,302.40966,29.2596621,0.17796,0
1982,11,8,302.06642,28.9164249,0.25531,0
1982,11,13,301.52809,28.378088,0.10945,0
1982,11,18,301.29456,28.14456173,0.13523,0
1982,11,23,301.12914,27.97913698,0.11605,0
1982,11,28,300.35555,27.20555079,0.14416,0
1982,12,3,300.56635,27.41635028,0.10347,0
1982,12,8,300.1739,27.0238993,0.10168,0
1982,12,13,300.46376,27.31375764,0.11242,0
1982,12,18,300.54696,27.39695855,0.10193,0
1982,12,23,300.48109,27.33109303,0.10292,0
1982,12,28,300.11668,26.96668295,0.10226,0
1983,1,3,299.73155,26.58155262,0.1009,0
1983,1,8,299.73142,26.58141713,0.1011,0
1983,1,13,299.64607,26.49606581,0.10071,0
1983,1,18,299.41021,26.26020584,0.10067,0
1983,1,23,299.78806,26.63805775,0.10467,0
1983,1,28,299.8401,26.69009547,0.10478,0
1983,2,3,299.32835,26.17835018,0.10932,0
1983,2,8,299.27275,26.1227523,0.10347,0
1983,2,13,299.57708,26.4270767,0.10215,0
1983,2,18,299.59535,26.44535369,0.10436,0
1983,2,23,299.45689,26.30688812,0.1017,0
1983,2,27,299.40242,26.25242098,0.10155,0
1983,3,3,299.69132,26.54132027,0.12062,0
1983,3,8,299.93018,26.78018435,0.12032,0
1983,3,13,299.68359,26.53359138,0.12037,0
1983,3,18,300.06578,26.91577972,0.11994,0
1983,3,23,299.94486,26.79485541,0.12095,0
1983,3,28,299.67812,26.52812451,0.12074,0
1983,4,3,300.41272,27.26271504,0.12081,0
1983,4,8,300.16765,27.01765096,0.12135,0
1983,4,13,300.53623,27.38622741,0.12052,0
1983,4,18,300.09199,26.9419906,0.12173,0
1983,4,23,300.37803,27.22803052,0.12142,0
1983,4,28,301.00568,27.85567932,0.12128,0
1983,5,3,301.24503,28.0950337,0.12266,0
1983,5,8,301.64626,28.49626356,0.12079,0
1983,5,13,301.9102,28.76019925,0.12302,0
1983,5,18,301.76456,28.61456345,0.13352,0
1983,5,23,301.74844,28.59844483,0.12325,0
1983,5,28,302.07363,28.92363155,0.1271,0
1983,6,3,302.17879,29.02879172,0.22045,0
1983,6,8,302.45903,29.309026,0.2062,0
1983,6,13,302.77094,29.62093699,0.34539,0
1983,6,18,302.71113,29.56112556,0.4189,0
1983,6,23,302.343,29.19300297,0.43084,0
1983,6,28,302.01564,28.86564113,0.47096,0
1983,7,3,301.74046,28.59046268,0.26898,0
1983,7,8,301.98469,28.83469017,0.32741,0
1983,7,13,301.76293,28.61293483,0.48412,0
1983,7,18,301.68887,28.53887449,0.48075,0
1983,7,23,301.79442,28.64442493,0.40788,0
1983,7,28,301.35569,28.20569428,0.60695,0
1983,8,3,301.52605,28.37605078,0.48548,0
1983,8,8,301.64246,28.49246357,0.58398,0
