"Creative Commons Licence by attribution (https://creativecommons.org/licenses/by/4.0/). Climate Change Initiative - European Space Agency, These data were produced by the University of Reading as part of the ESA CCI project. (http://surftemp.net)"
"Time series of 5-day sea surface_temperature averaged across ocean surface within latitudes 13.50 and 18.50 and longitudes 67.50 and 72.50, in kelvin and degree Celsius. Post-hoc corrections have been applied from Merchant and Embury (2020) https://doi.org/10.3390/rs12162554"
year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean
1982,1,3,300.04951,26.899509459915123,0.12326,0.00000
1982,1,8,300.10734,26.957337803718076,0.10195,0.00000
1982,1,13,299.94285,26.79284597919866,0.10368,0.00000
1982,1,18,300.07112,26.921121388797246,0.10236,0.00000
1982,1,23,299.81594,26.665943757274704,0.10318,0.00000
1982,1,28,299.84524,26.69523746317242,0.10365,0.00000
1982,2,3,299.79142,26.64141746986587,0.10165,0.00000
1982,2,8,299.60113,26.451128413171602,0.10167,0.00000
1982,2,13,299.80751,26.657511765963818,0.10252,0.00000
1982,2,18,299.89627,26.746266900891783,0.10192,0.00000
1982,2,23,299.80515,26.655148191834883,0.10200,0.00000
1982,2,27,300.05158,26.901582517568272,0.10041,0.00000
1982,3,3,299.91516,26.765156719330037,0.12107,0.00000
1982,3,8,299.91857,26.768566198267763,0.12030,0.00000
1982,3,13,299.64292,26.492923378901935,0.12023,0.00000
1982,3,18,299.99410,26.844096334672372,0.12025,0.00000
1982,3,23,300.29219,27.142194395962235,0.12477,0.00000
1982,3,28,300.65728,27.507283009974117,0.12116,0.00000
1982,4,3,300.87524,27.72524374674066,0.12129,0.00000
1982,4,8,300.56591,27.415914646365195,0.12190,0.00000
1982,4,13,301.14404,27.994035907285934,0.12276,0.00000
1982,4,18,300.99565,27.845647682611116,0.12319,0.00000
1982,4,23,301.13021,27.98021099752964,0.13272,0.00000
1982,4,28,301.40541,28.255410592199496,0.12494,0.00000
1982,5,3,301.44076,28.29075969131344,0.13014,0.00000
1982,5,8,301.39400,28.244004516133828,0.12473,0.00000
1982,5,13,302.05332,28.903317741812373,0.12465,0.00000
1982,5,18,301.99853,28.848530094316402,0.13661,0.00000
1982,5,23,302.60494,29.454942133123325,0.12751,0.00000
1982,5,28,302.67348,29.52347588399931,0.25789,0.00000
1982,6,3,302.65347,29.50346686071134,0.23962,0.00000
1982,6,8,302.65598,29.50597987264922,0.24658,0.00000
1982,6,13,302.35902,29.20902295498371,0.35104,0.00000
1982,6,18,301.82597,28.675973302941202,0.37194,0.00000
1982,6,23,301.40103,28.25103384412813,0.29142,0.00000
1982,6,28,301.26660,28.116601368401973,0.21855,0.00000
1982,7,3,301.68580,28.535803683240033,0.24751,0.00000
1982,7,8,301.61283,28.462825806950207,0.34781,0.00000
1982,7,13,301.18374,28.033743138895602,0.48135,0.00000
1982,7,18,300.90257,27.75256730326663,0.46810,0.00000
1982,7,23,300.84789,27.6978859698242,0.40472,0.00000
1982,7,28,300.82750,27.677495291247055,0.43863,0.00000
1982,8,3,300.57962,27.429623537886414,0.52412,0.00000
1982,8,8,300.51858,27.368583697990516,0.57283,0.00000
1982,8,13,300.25529,27.105286677804486,0.51329,0.00000
1982,8,18,300.01184,26.86184004042036,0.47130,0.00000
1982,8,23,300.10189,26.95189127052845,0.30580,0.00000
1982,8,28,300.20564,27.05564399349697,0.32609,0.00000
1982,9,3,300.61334,27.463337452109272,0.11970,0.00000
1982,9,8,300.56579,27.415792076234254,0.12661,0.00000
1982,9,13,300.37008,27.22007569084508,0.15723,0.00000
1982,9,18,300.64119,27.491188041088662,0.21119,0.00000
1982,9,23,300.55805,27.408054758056323,0.19051,0.00000
1982,9,28,300.97965,27.82964794946531,0.19123,0.00000
1982,10,3,301.00553,27.85552729270887,0.11427,0.00000
1982,10,8,301.88752,28.73752029476799,0.11272,0.00000
1982,10,13,301.91224,28.762238389752497,0.10893,0.00000
1982,10,18,302.34027,29.190274902455087,0.12633,0.00000
1982,10,23,302.76638,29.616378488811677,0.11299,0.00000
1982,10,28,302.54813,29.39813316555677,0.11042,0.00000
1982,11,3,302.40966,29.259662099802085,0.17796,0.00000
1982,11,8,302.06642,28.916424896416686,0.25531,0.00000
1982,11,13,301.52809,28.378088002819368,0.10945,0.00000
1982,11,18,301.29456,28.144561725503195,0.13523,0.00000
1982,11,23,301.12914,27.97913697703177,0.11605,0.00000
1982,11,28,300.35555,27.205550793517602,0.14416,0.00000
1982,12,3,300.56635,27.416350275903312,0.10347,0.00000
1982,12,8,300.17390,27.023899299548304,0.10168,0.00000
1982,12,13,300.46376,27.313757636563878,0.11242,0.00000
1982,12,18,300.54696,27.396958548664827,0.10193,0.00000
1982,12,23,300.48109,27.331093032986587,0.10292,0.00000
1982,12,28,300.11668,26.96668295406323,0.10226,0.00000
1983,1,3,299.73155,26.581552621167305,0.10090,0.00000
1983,1,8,299.73142,26.581417128636247,0.10110,0.00000
1983,1,13,299.64607,26.496065811206392,0.10071,0.00000
1983,1,18,299.41021,26.260205841319987,0.10067,0.00000
1983,1,23,299.78806,26.63805775465869,0.10467,0.00000
1983,1,28,299.84010,26.690095465514162,0.10478,0.00000
1983,2,3,299.32835,26.178350176828985,0.10932,0.00000
1983,2,8,299.27275,26.122752304928042,0.10347,0.00000
1983,2,13,299.57708,26.427076695824383,0.10215,0.00000
1983,2,18,299.59535,26.44535369354412,0.10436,0.00000
1983,2,23,299.45689,26.306888119735106,0.10170,0.00000
1983,2,27,299.40242,26.2524209789093,0.10155,0.00000
1983,3,3,299.69132,26.541320269740652,0.12062,0.00000
1983,3,8,299.93018,26.780184351787057,0.12032,0.00000
